Dataset,Epochs,Attention Type,Optimizer,Window Size,GPU Memory Usage,Training Time,samples/sec,test_loss,Test Accuracy,path_to_train_results,path_to_val_results,Test Error,"Cost Function (0.25, 0.75)","Cost Function (0.5, 0.5)","Cost Function (0.75, 0.25)"
emotion,7,sliding + sparse,AdamW,64,0.1480456206400177,414.5407,169.334,0.12558786571025848,0.9808219178082189,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_64\train_losses.csv,results\emotion-epochs_7\sliding + sparse\adamw\att_win_size_64\val_losses.csv,0.019178082191781076,0.05139496680384023,0.08361185141589939,0.11582873602795854
emotion,7,sliding + sparse,SGD,128,0.09412025246373601,418.8575,167.589,0.4344003200531006,0.3698630136986303,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_128\train_losses.csv,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_128\val_losses.csv,0.6301369863013697,0.49613280284196126,0.36212861938255286,0.22812443592314444
emotion,7,sliding + sparse,SGD,16,0.022921049717639252,391.5282,179.287,0.4209749102592468,0.43561643835616426,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_16\train_losses.csv,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_16\val_losses.csv,0.5643835616438357,0.42901793366228663,0.2936523056807375,0.15828667769918836
emotion,7,sliding + sparse,SGD,256,0.313807994684974,715.325,98.132,0.4352238178253174,0.35890410958904084,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_256\train_losses.csv,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_256\val_losses.csv,0.6410958904109592,0.5592739164794629,0.4774519425479666,0.39562996861647026
emotion,7,sliding + sparse,SGD,32,0.045066991473812434,389.6695,180.142,0.4740830659866333,0.28219178082191787,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_32\train_losses.csv,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_32\val_losses.csv,0.7178082191780821,0.5496229122520147,0.3814376053259473,0.21325229839987986
emotion,7,sliding + sparse,SGD,512,0.9838334625179936,1819.7417,38.575,0.5135639905929565,0.18904109589041118,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_512\train_losses.csv,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_512\val_losses.csv,0.8109589041095888,0.8541775437116901,0.8973961833137912,0.9406148229158925
emotion,7,sliding + sparse,SGD,64,0.0766249584763592,389.532,180.206,0.43890318274497986,0.3726027397260272,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_64\train_losses.csv,results\emotion-epochs_7\sliding + sparse\sgd\att_win_size_64\val_losses.csv,0.6273972602739728,0.4897041848245694,0.352011109375166,0.2143180339257626
imdb,5,sliding,Adam,128,0.21706798866855526,1191.2207,73.454,0.43476396799087524,0.8854634981802612,results\imdb-epochs_5\sliding\adam\att_win_size_128\train_losses.csv,results\imdb-epochs_5\sliding\adam\att_win_size_128\val_losses.csv,0.11453650181973885,0.14016937353194295,0.16580224524414705,0.19143511695635115
imdb,5,sliding,Adam,16,0.0,826.4101,105.88,0.6503608226776123,0.3511025476343397,results\imdb-epochs_5\sliding\adam\att_win_size_16\train_losses.csv,results\imdb-epochs_5\sliding\adam\att_win_size_16\val_losses.csv,0.6488974523656603,0.48667308927424524,0.32444872618283016,0.16222436309141508
imdb,5,sliding,Adam,256,0.45750708215297464,1593.1631,54.922,0.4122644066810608,0.9419824448726182,results\imdb-epochs_5\sliding\adam\att_win_size_256\train_losses.csv,results\imdb-epochs_5\sliding\adam\att_win_size_256\val_losses.csv,0.058017555127381826,0.15788993688378003,0.25776231864017823,0.3576347003965764
imdb,5,sliding,Adam,32,0.06710339943342769,880.7315,99.349,0.5720161199569702,0.5467779918646971,results\imdb-epochs_5\sliding\adam\att_win_size_32\train_losses.csv,results\imdb-epochs_5\sliding\adam\att_win_size_32\val_losses.csv,0.4532220081353029,0.35669235595983406,0.2601627037843653,0.1636330516088965
imdb,5,sliding,Adam,512,0.8307365439093485,2285.8923,38.278,0.37274643778800964,0.973025048169557,results\imdb-epochs_5\sliding\adam\att_win_size_512\train_losses.csv,results\imdb-epochs_5\sliding\adam\att_win_size_512\val_losses.csv,0.02697495183044296,0.22791534985016934,0.4288557478698957,0.6297961458896221
imdb,5,sliding,Adam,64,0.1435906515580737,995.4798,87.897,0.4865570366382599,0.7621494326696636,results\imdb-epochs_5\sliding\adam\att_win_size_64\train_losses.csv,results\imdb-epochs_5\sliding\adam\att_win_size_64\val_losses.csv,0.23785056733033638,0.21428558838727071,0.19072060944420505,0.16715563050113938
imdb,5,sliding,AdamW,128,0.253186968838527,1206.0434,72.551,0.424034059047699,0.8878184542924425,results\imdb-epochs_5\sliding\adamw\att_win_size_128\train_losses.csv,results\imdb-epochs_5\sliding\adamw\att_win_size_128\val_losses.csv,0.11218154570755745,0.14743290149029983,0.18268425727304222,0.2179356130557846
imdb,5,sliding,AdamW,16,0.040368271954674184,840.0342,104.162,0.6537736654281616,0.34446585313637357,results\imdb-epochs_5\sliding\adamw\att_win_size_16\train_losses.csv,results\imdb-epochs_5\sliding\adamw\att_win_size_16\val_losses.csv,0.6555341468636264,0.5017426781363884,0.3479512094091503,0.19415974068191225
imdb,5,sliding,AdamW,256,0.5334631728045326,1611.9742,54.281,0.3931298553943634,0.9385570541639905,results\imdb-epochs_5\sliding\adamw\att_win_size_256\train_losses.csv,results\imdb-epochs_5\sliding\adamw\att_win_size_256\val_losses.csv,0.06144294583600951,0.17944800257814028,0.29745305932027105,0.4154581160624018
imdb,5,sliding,AdamW,32,0.06604107648725221,889.1192,98.412,0.5846708416938782,0.5305073859987157,results\imdb-epochs_5\sliding\adamw\att_win_size_32\train_losses.csv,results\imdb-epochs_5\sliding\adamw\att_win_size_32\val_losses.csv,0.4694926140012843,0.3686297296227763,0.26776684524426825,0.16690396086576023
imdb,5,sliding,AdamW,512,0.8201133144475922,2313.4088,37.823,0.37145137786865234,0.9843716548918859,results\imdb-epochs_5\sliding\adamw\att_win_size_512\train_losses.csv,results\imdb-epochs_5\sliding\adamw\att_win_size_512\val_losses.csv,0.01562834510811406,0.2167495874429836,0.4178708297778531,0.6189920721127227
